device,tick_ms,sequence,valid,block_index,sample_index,left,right,sample_count,min,max,peak_abs,mean_abs,frame_id,radar_type,frame_len,data_len,driver_drop,msg_drop,frame_hex,radar_decoded
mic,49348,70,1,6,47,185,207,,,,,,,,,,24458,21805,,
mic,49348,70,1,6,48,194,162,,,,,,,,,,24460,21805,,
mic,49348,70,1,6,49,246,220,,,,,,,,,,24462,21805,,
mic,49348,70,1,6,50,248,186,,,,,,,,,,24465,21805,,
mic,49348,70,1,6,51,277,266,,,,,,,,,,24467,21805,,
mic,49348,70,1,6,52,223,223,,,,,,,,,,24469,21805,,
mic,49348,70,1,6,53,301,276,,,,,,,,,,24471,21805,,
mic,49348,70,1,6,54,253,248,,,,,,,,,,24474,21805,,
mic,49348,70,1,6,55,263,263,,,,,,,,,,24476,21805,,
mic,49348,70,1,6,56,253,250,,,,,,,,,,24478,21805,,
mic,49348,70,1,6,57,244,270,,,,,,,,,,24480,21805,,
mic,49348,70,1,6,58,287,274,,,,,,,,,,24483,21805,,
mic,49348,70,1,6,59,302,304,,,,,,,,,,24485,21805,,
mic,49348,70,1,6,60,255,252,,,,,,,,,,24487,21805,,
mic,49348,70,1,6,61,294,310,,,,,,,,,,24489,21805,,
mic,49348,70,1,6,62,305,274,,,,,,,,,,24492,21805,,
mic,49348,70,1,6,63,289,287,,,,,,,,,,24494,21805,,
mic,49348,70,1,6,64,292,286,,,,,,,,,,24496,21805,,
mic,49348,70,1,6,65,313,246,,,,,,,,,,24499,21805,,
mic,49348,70,1,6,66,281,294,,,,,,,,,,24501,21805,,
mic,49348,70,1,6,67,316,304,,,,,,,,,,24503,21805,,
mic,49348,70,1,6,68,328,305,,,,,,,,,,24505,21805,,
mic,49348,70,1,6,69,356,345,,,,,,,,,,24508,21805,,
mic,49348,70,1,6,70,337,339,,,,,,,,,,24510,21805,,
mic,49348,70,1,6,71,341,337,,,,,,,,,,24512,21805,,
mic,49348,70,1,6,72,330,353,,,,,,,,,,24514,21805,,
mic,49348,70,1,6,73,357,349,,,,,,,,,,24517,21805,,
mic,49348,70,1,6,74,356,355,,,,,,,,,,24519,21805,,
mic,49348,70,1,6,75,366,364,,,,,,,,,,24521,21805,,
mic,49348,70,1,6,76,343,381,,,,,,,,,,24523,21805,,
mic,49348,70,1,6,77,404,391,,,,,,,,,,24526,21805,,
mic,49348,70,1,6,78,379,378,,,,,,,,,,24528,21805,,
mic,49348,70,1,6,79,403,348,,,,,,,,,,24530,21805,,
mic,49348,70,1,6,80,392,413,,,,,,,,,,24532,21805,,
mic,49348,70,1,6,81,432,360,,,,,,,,,,24535,21805,,
mic,49348,70,1,6,82,391,420,,,,,,,,,,24537,21805,,
mic,49348,70,1,6,83,403,360,,,,,,,,,,24539,21805,,
mic,49348,70,1,6,84,411,411,,,,,,,,,,24541,21805,,
mic,49348,70,1,6,85,361,331,,,,,,,,,,24544,21805,,
mic,49348,70,1,6,86,389,344,,,,,,,,,,24546,21805,,
mic,49348,70,1,6,87,358,381,,,,,,,,,,24548,21805,,
mic,49348,70,1,6,88,379,337,,,,,,,,,,24551,21805,,
mic,49348,70,1,6,89,358,327,,,,,,,,,,24553,21805,,
mic,49348,70,1,6,90,361,377,,,,,,,,,,24555,21805,,
mic,49348,70,1,6,91,367,376,,,,,,,,,,24557,21805,,
mic,49348,70,1,6,92,387,379,,,,,,,,,,24560,21805,,
mic,49348,70,1,6,93,388,411,,,,,,,,,,24562,21805,,
mic,49348,70,1,6,94,381,327,,,,,,,,,,24564,21805,,
mic,49348,70,1,6,95,377,386,,,,,,,,,,24566,21805,,
mic,49348,70,1,6,96,390,383,,,,,,,,,,24569,21805,,
